ambulances,,,,,,,,,,,Ambulance deployment determined by results from running local search script: JEMSS/example/scripts/deployment_search.jl
index,stationIndex,class,unitName,crossStreetx,crossStreety,tour1Start,tour1End,tour2Start,tour2End,tour3Start,tour3End
114,8,2,82E,-73.91059553829191,40.83750335197883,0.4583333333333333,0.8125,0.8125,0.16666666666666666,,
115,1,2,82B,-73.8813512382084,40.825655491562586,0.375,0.875,,,,
116,4,2,19F,-73.90152432015083,40.87039957694542,0.25,0.75,0.75,0.25,,
117,8,2,17G,-73.90454800031986,40.839504986371466,0.3333333333333333,0.6875,0.6875,0.041666666666666664,,
118,12,2,26A,-73.90643958523724,40.8196932645228,0.3958333333333333,0.8958333333333334,0.8958333333333334,0.3958333333333333,,
119,12,2,03K,-73.88670076098097,40.8189995258881,0.3125,0.8125,0.8125,0.3125,,
120,7,2,20E,-73.8319620271876,40.85174583388909,0.375,0.7291666666666666,0.7291666666666666,0.08333333333333333,,
121,8,2,18H,-73.88674647679906,40.845211602353466,0.2916666666666667,0.7916666666666666,0.7916666666666666,0.2916666666666667,,
122,9,2,17A,-73.92527000997855,40.840184493073636,0.3333333333333333,0.6875,0.6875,0.041666666666666664,,
123,13,2,P15,-73.86110130129575,40.88055454622965,0.3125,0.8125,0.8125,0.3125,,
124,4,1,C19,-73.9039131530467,40.85867898070108,0.22916666666666666,0.7291666666666666,0.7291666666666666,0.22916666666666666,,
125,5,2,X27,-73.90239356112974,40.89649133809144,0.25,0.75,0.75,0.25,,
126,10,2,19M,-73.9068220429152,40.851816861548265,0.25,0.75,0.75,0.25,,
127,1,1,20X,-73.82880036524976,40.835835575040385,0.20833333333333334,0.7083333333333334,0.7083333333333334,0.20833333333333334,,
128,8,2,82D,-73.89560515822824,40.83052468247923,0.375,0.875,,,,
129,7,2,20B,-73.84007946752556,40.84169800767447,0.4166666666666667,0.7708333333333334,0.7708333333333334,0.125,,
