nodes,,,
index,x,y,offRoadAccess,
358.0,-73.8326602,40.8705543,1.0
359.0,-73.83281000000001,40.8705879,1.0
360.0,-73.8341434,40.873146500000004,0.0
361.0,-73.8717291,40.8537885,0.0
362.0,-73.9064482,40.901034900000006,1.0
363.0,-73.906754,40.899809000000005,0.0
364.0,-73.826455,40.8566456,1.0
365.0,-73.8278882,40.8571422,0.0
366.0,-73.8266277,40.8568497,0.0
367.0,-73.83380540000002,40.85533889999999,0.0
368.0,-73.83340150000001,40.85601919999999,0.0
369.0,-73.8358773,40.87601099999999,1.0
370.0,-73.8346433,40.8730363,0.0
371.0,-73.8932455,40.8442788,1.0
372.0,-73.8881021,40.8510099,1.0
373.0,-73.88723,40.85248800000001,1.0
374.0,-73.886451,40.854041,1.0
375.0,-73.88361370000001,40.85792850000001,1.0
376.0,-73.884646,40.856694999999995,1.0
377.0,-73.885433,40.855759,1.0
378.0,-73.8298599,40.8821753,1.0
379.0,-73.8301498,40.882702200000004,1.0
380.0,-73.8305752,40.8833748,1.0
381.0,-73.8308163,40.8837784,1.0
382.0,-73.8312803,40.8846411,1.0
383.0,-73.7854351,40.8444412,1.0
384.0,-73.904105,40.86574499999999,1.0
385.0,-73.8319976,40.8436378,1.0
386.0,-73.895563,40.851469,1.0
387.0,-73.8965896,40.8496449,1.0
388.0,-73.8973362,40.8483183,1.0
389.0,-73.8980594,40.8470333,1.0
390.0,-73.8986642,40.845958800000005,1.0
391.0,-73.8993507,40.8447389,1.0
392.0,-73.8995138,40.844449,1.0
393.0,-73.8997319,40.8440615,1.0
394.0,-73.8222328,40.8345678,1.0
395.0,-73.822679,40.835678,1.0
396.0,-73.822973,40.837179,1.0
397.0,-73.82302,40.838550000000005,1.0
398.0,-73.831541,40.83974700000001,1.0
399.0,-73.830559,40.840203,1.0
400.0,-73.829674,40.840609,1.0
401.0,-73.828767,40.840965000000004,1.0
402.0,-73.8279088,40.8412662,1.0
403.0,-73.827032,40.841318,1.0
404.0,-73.8260667,40.841377699999995,1.0
405.0,-73.8016243,40.8090455,1.0
406.0,-73.8344301,40.8879896,1.0
407.0,-73.83236320000002,40.887867199999995,1.0
408.0,-73.8462652,40.8997137,1.0
409.0,-73.830271,40.8656494,1.0
410.0,-73.8308122,40.86690620000001,1.0
411.0,-73.8616048,40.9010563,1.0
412.0,-73.8612522,40.900950300000005,1.0
413.0,-73.8831231,40.8482446,1.0
414.0,-73.8828218,40.847871000000005,1.0
415.0,-73.8531396,40.89491590000001,1.0
416.0,-73.8529488,40.894576799999996,1.0
417.0,-73.899801,40.865998000000005,1.0
418.0,-73.8989016,40.8656039,1.0
419.0,-73.9010627,40.8627771,1.0
420.0,-73.9014475,40.8628096,1.0
421.0,-73.9022965,40.8627216,1.0
422.0,-73.9033218,40.862741,1.0
423.0,-73.849007,40.9063654,1.0
424.0,-73.880426,40.8749,1.0
425.0,-73.88148100000001,40.874812000000006,1.0
426.0,-73.8391293,40.84219290000001,1.0
427.0,-73.78518490000002,40.8437791,1.0
428.0,-73.858445,40.82277400000001,1.0
429.0,-73.855312,40.823192,1.0
430.0,-73.9067173,40.8734051,1.0
431.0,-73.8586569,40.826416,1.0
432.0,-73.8589862,40.8271573,1.0
433.0,-73.859302,40.82784500000001,1.0
434.0,-73.85962,40.828548,1.0
435.0,-73.859938,40.829247,1.0
436.0,-73.860261,40.829947,1.0
437.0,-73.8605713,40.83065160000001,1.0
438.0,-73.86088600000001,40.83134400000001,1.0
